t_s,linear_x,angular_z
5.569,0.25,-0.011516421213497309
5.614,0.25,-0.01132030382357584
5.664,0.25,-0.011045454054170846
5.714,0.25,-0.0109270817571997
5.764,0.25,-0.01184761760549147
5.813,0.25,-0.011504233468198457
5.864,0.25,-0.011785781309773745
5.914,0.25,-0.01114682222174167
5.965,0.25,-0.011793256020251483
6.013,0.25,-0.012022075808104729
6.064,0.25,-0.012008822849881539
6.114,0.25,-0.012152946251931487
6.164,0.25,-0.011441570052488892
6.214,0.25,-0.011361057033672139
6.264,0.25,-0.011575485387950266
6.314,0.25,-0.011781704523351628
6.364,0.25,-0.011682360546863712
6.414,0.25,-0.012130635940248559
6.464,0.25,-0.012285410897657733
6.514,0.25,-0.011418953746557499
6.568,0.25,-0.012269281660789808
6.614,0.25,-0.012200748646524958
6.664,0.25,-0.012231606038323514
6.714,0.25,-0.012107320501730108
6.764,0.25,-0.012576441604129194
6.814,0.25,-0.012226131838377726
6.864,0.25,-0.011797413141586189
6.914,0.25,-0.012612477920767053
6.964,0.25,-0.012598564467414908
7.013,0.25,-0.012629741382417946
7.065,0.25,-0.012325541382913485
7.114,0.25,-0.012694798760494378
7.164,0.25,-0.012706350579684979
7.214,0.25,-0.012600262274292787
7.263,0.25,-0.012903260681542895
7.314,0.25,-0.012590706625151318
7.364,0.25,-0.012013188217925153
7.414,0.25,-0.01228428036440885
7.464,0.25,-0.012085718554681647
7.514,0.25,-0.012359199878835162
7.569,0.25,-0.012270621939522393
7.614,0.25,-0.012467085351089544
7.664,0.25,-0.012206395369789645
7.714,0.25,-0.012145210864645753
7.764,0.25,-0.01207814504157831
7.814,0.25,-0.012623662426812031
7.864,0.25,-0.012440230282842676
7.914,0.25,-0.012324046656724192
7.963,0.25,-0.012000313317055278
8.014,0.25,-0.012026398130544855
8.065,0.25,-0.012192797602322614
8.114,0.25,-0.012389758653769858
8.164,0.25,-0.012232819410230817
8.213,0.25,-0.012390569388607737
8.264,0.25,-0.012449191606838923
8.314,0.25,-0.01209668641697668
8.364,0.25,-0.012366272948845349
8.414,0.25,-0.012324361248089487
8.464,0.25,-0.01229502601014449
8.513,0.25,-0.012417539229260264
8.568,0.25,-0.012593146158115083
8.614,0.25,-0.01208931992337142
8.664,0.25,-0.012138930912758318
8.713,0.25,-0.012404047119701752
8.764,0.25,-0.011827517119218775
8.814,0.25,-0.011136186020715292
8.864,0.25,-0.01157997557337712
8.915,0.25,-0.011877870522344906
8.964,0.25,-0.01243306610195127
9.014,0.25,-0.012605198644458788
9.064,0.25,-0.01273178801976261
9.114,0.25,-0.011783616082054955
9.165,0.25,-0.01236379957417629
9.214,0.25,-0.012322103763033497
9.264,0.25,-0.012269187183762431
9.314,0.25,-0.012127631740395087
9.364,0.25,-0.012072800790661907
9.415,0.25,-0.011605775263396935
9.463,0.25,-0.012109306306306208
9.514,0.25,-0.011951830808080642
9.568,0.25,-0.011698664546097
9.615,0.25,-0.012443043747881787
9.666,0.25,-0.012366790347821741
9.714,0.25,-0.012117213286058116
9.764,0.25,-0.012228437585615204
9.814,0.25,-0.011785236508657633
9.864,0.25,-0.011687871903061762
9.914,0.25,-0.011673609007371367
9.964,0.25,-0.011938206199402543
10.014,0.25,-0.01267826093230294
10.064,0.25,-0.012150168801939
10.114,0.25,-0.011997253736718925
10.164,0.25,-0.012052852778198151
10.214,0.25,-0.011449916371081592
10.264,0.25,-0.011659293230483422
10.314,0.25,-0.011262739014176936
10.364,0.25,-0.011341933891207176
10.413,0.25,-0.011336412546035034
10.464,0.25,-0.011883427643751183
10.515,0.25,-0.011073260429498539
10.569,0.25,-0.011279657016424877
10.614,0.25,-0.011174081920903836
10.664,0.25,-0.011061289822801364
10.713,0.25,-0.011496588715022469
10.764,0.25,-0.011044906175883327
10.814,0.25,-0.011197294093912404
10.864,0.25,-0.010593389313967022
10.913,0.25,-0.011430539934535843
10.964,0.25,-0.010610684342452216
11.014,0.25,-0.011426812940007842
11.064,0.25,-0.011046658384645624
11.114,0.25,-0.010780575552528865
11.164,0.25,-0.010820120259685985
11.214,0.25,-0.011473891760566771
11.264,0.25,-0.010950108795895978
11.314,0.25,-0.01165532463417449
11.364,0.25,-0.011070764808851762
11.414,0.25,-0.010734970344265946
11.464,0.25,-0.010566264691699061
11.514,0.25,-0.010484203568829785
11.571,0.25,-0.010681412820235749
11.614,0.25,-0.010751089972255271
11.663,0.25,-0.011596873330734567
11.714,0.25,-0.011266775617992195
11.764,0.25,-0.011561266245929432
11.814,0.25,-0.011248333945720787
11.864,0.25,-0.011785128243966304
11.914,0.25,-0.012061937131970844
11.965,0.25,-0.011553271923944662
12.014,0.25,-0.011525225390785394
12.064,0.25,-0.010634554517267992
12.114,0.25,-0.010957210603025515
12.164,0.25,-0.011310367355143321
12.214,0.25,-0.011303850600713651
12.264,0.25,-0.011019963314739412
12.314,0.25,-0.01085654078842559
12.364,0.25,-0.011011777878259358
12.414,0.25,-0.011399350066429576
12.464,0.25,-0.010513203947557202
12.514,0.25,-0.011173300165837573
12.568,0.25,-0.011532393637656888
12.614,0.25,-0.011418180316447993
12.664,0.25,-0.010819860064585463
12.714,0.25,-0.011100332773326506
12.764,0.25,-0.010668177219005094
12.814,0.25,-0.011189425928718428
12.864,0.25,-0.011023900556453014
12.914,0.25,-0.010763447748659444
12.964,0.25,-0.01071558653604626
13.014,0.25,-0.010933589964466393
13.064,0.25,-0.011005227181343037
13.114,0.25,-0.011035784788772885
13.164,0.25,-0.010972404659876388
13.215,0.25,-0.010873952882399748
13.264,0.25,-0.011314315986064648
13.314,0.25,-0.011243752827384199
13.364,0.25,-0.011270107575529023
13.414,0.25,-0.011333265112671817
13.464,0.25,-0.01090136750296125
13.514,0.25,-0.010563908021236868
13.608,0.25,-0.01059547508877653
13.613,0.25,-0.010722974573169387
13.664,0.25,-0.010984748153412233
13.714,0.25,-0.011103060491832472
13.764,0.25,-0.010873570520965607
13.814,0.25,-0.011123963828183925
13.863,0.25,-0.010994019799989764
13.914,0.25,-0.010941786352576486
13.964,0.25,-0.011190755741307292
14.014,0.25,-0.010883002088671531
14.064,0.25,-0.010805425179954184
14.114,0.25,-0.010829125847776986
14.165,0.25,-0.010853135295764425
14.214,0.25,-0.010903525392587453
14.264,0.25,-0.011044707309022498
14.314,0.25,-0.011007268224399808
14.364,0.25,-0.010943482567779945
14.414,0.25,-0.011063222722280806
14.464,0.25,-0.01097330406965895
14.514,0.25,-0.011251113145893965
14.568,0.25,-0.010850592777586243
14.614,0.25,-0.011203630913920435
14.664,0.25,-0.011742572069255565
14.714,0.25,-0.011171203438395307
14.764,0.25,-0.011401932164196181
14.814,0.25,-0.01102025601274672
14.864,0.25,-0.01141032134313228
14.914,0.25,-0.011545932777095124
14.964,0.25,-0.010848012719742037
15.014,0.25,-0.011213138919411881
15.064,0.25,-0.01137862642848404
15.114,0.25,-0.010936086825444632
15.164,0.25,-0.011375722958652083
15.214,0.25,-0.01132148450690046
15.263,0.25,-0.011118700193840139
15.314,0.25,-0.011125689268944007
15.364,0.25,-0.011036129419028597
15.414,0.25,-0.010965802208532445
15.464,0.25,-0.011807379730273517
15.514,0.25,-0.01125545871131308
15.569,0.25,-0.011036536983979807
15.614,0.25,-0.011181623655450678
15.664,0.25,-0.011551360536885654
15.714,0.25,-0.011299381319659785
15.764,0.25,-0.011411641414685716
15.814,0.25,-0.011250350162691021
15.864,0.25,-0.011397714454048398
15.914,0.25,-0.011242818413587619
15.963,0.25,-0.011089490217196171
16.014,0.25,-0.011013465003912763
16.063,0.25,-0.010967855117409256
16.114,0.25,-0.011325995976577942
16.164,0.25,-0.011493050319207823
16.214,0.25,-0.011474947001545067
16.264,0.25,-0.011251175807447566
16.314,0.25,-0.010646137865707884
16.364,0.25,-0.01074619915153857
16.414,0.25,-0.010990170756205906
16.464,0.25,-0.011234323485680944
16.514,0.25,-0.011390625561424164
16.568,0.25,-0.010950782696696882
16.614,0.25,-0.010923020317323449
16.663,0.25,-0.010716635085377142
16.714,0.25,-0.010934154117925737
16.764,0.25,-0.010910498481290816
16.814,0.25,-0.010830840149232157
16.864,0.25,-0.010978485592453813
16.913,0.25,-0.010748010234106964
16.964,0.25,-0.011019712045831475
17.014,0.25,-0.0112680258265501
17.064,0.25,-0.01133209694437859
17.114,0.25,-0.010940465942106882
17.164,0.25,-0.011628902126376203
17.214,0.25,-0.011249560676808698
17.264,0.25,-0.011458840576587404
17.313,0.25,-0.011721381288138417
17.364,0.25,-0.010571159033516898
17.414,0.25,-0.011538450487724283
17.464,0.25,-0.010877857322280738
17.514,0.25,-0.01046258141102875
17.567,0.25,-0.010502259765414728
17.614,0.25,-0.010461469341196261
17.664,0.25,-0.011047549558087367
17.714,0.25,-0.010951186786062692
17.764,0.25,-0.010975194674704909
17.814,0.25,-0.011164717873626308
17.864,0.25,-0.01082212711742727
17.914,0.25,-0.011771116138763311
17.964,0.25,-0.011365752706700006
18.014,0.25,-0.011368581047130916
18.064,0.25,-0.012678311538599905
18.114,0.25,-0.012114385092272214
18.164,0.25,-0.012384652262617982
18.214,0.25,-0.012049221695902687
18.263,0.25,-0.012216131473672823
18.314,0.25,-0.011918900176519287
18.364,0.25,-0.011576952154660276
18.413,0.25,-0.012296680288582848
18.463,0.25,-0.012276008331891644
18.513,0.25,-0.0126432555963434
18.567,0.25,-0.012315697335148776
18.614,0.25,-0.0117696471401716
18.664,0.25,-0.012696712250835275
18.714,0.25,-0.012219927630251027
18.764,0.25,-0.012813232314492351
18.814,0.25,-0.012539119910088948
18.864,0.25,-0.01200874057917801
18.914,0.25,-0.012475639639639515
18.964,0.25,-0.011808881533879826
19.014,0.25,-0.012112616068405586
